"a_o","trimestre","proveedor","segmento","terminal","tecnolog_a","no_abonados"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","4G","115"
"2018","2","AVANTEL S.A.S","PREPAGO","DATA CARD","4G","249"
"2018","2","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","3G","167"
"2018","2","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","4G","225"
"2018","2","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","3G","5742"
"2018","2","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","4G","1899"
"2018","1","COLOMBIA MOVIL  S.A ESP","POSPAGO","TEL�FONO M�VIL","3G","9080"
"2018","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","2G","41482"
"2018","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","1373"
"2018","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2777"
"2018","1","SUMA MOVIL S.A.S.","PREPAGO","TEL�FONO M�VIL","4G","172"
"2018","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","2G","2416"
"2018","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","16036"
"2018","2","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","4G","6184"
"2018","2","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","2G","43"
"2018","2","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","3G","329"
"2018","2","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","4G","331"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","TEL�FONO M�VIL","2G","12700"
"2018","2","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","2G","1975"
"2018","2","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","3G","15705"
"2018","2","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","4G","4225"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","TEL�FONO M�VIL","2G","7390"
"2018","1","EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP","PREPAGO","TEL�FONO M�VIL","2G","1967"
"2018","1","SUMA MOVIL S.A.S.","PREPAGO","TEL�FONO M�VIL","3G","237"
"2018","2","UNE EPM TELECOMUNICACIONES S.A.","PREPAGO","DATA CARD","2G","0"
"2018","2","UNE EPM TELECOMUNICACIONES S.A.","PREPAGO","DATA CARD","3G","0"
"2018","2","UNE EPM TELECOMUNICACIONES S.A.","PREPAGO","DATA CARD","4G","0"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","4G","3706"
"2018","3","AVANTEL S.A.S","PREPAGO","DATA CARD","4G","215"
"2018","1","UNE EPM TELECOMUNICACIONES S.A.","PREPAGO","DATA CARD","2G","0"
"2018","3","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","3G","126"
"2018","3","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","4G","184"
"2018","1","VIRGIN MOBILE COLOMBIA S.A.S.","PREPAGO","TEL�FONO M�VIL","4G","82273"
"2018","3","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","3G","5249"
"2018","3","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","4G","1678"
"2018","3","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","2G","42495"
"2018","3","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","963"
"2018","3","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2827"
"2018","3","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","2G","2059"
"2018","3","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","13950"
"2018","3","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","4G","6623"
"2018","1","COLOMBIA MOVIL  S.A ESP","PREPAGO","TEL�FONO M�VIL","4G","1237454"
"2018","1","ALMACENES EXITO INVERSIONES S.A.S.","PREPAGO","TEL�FONO M�VIL","3G","292303"
"2018","3","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","2G","43"
"2018","3","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","3G","315"
"2018","3","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","DATA CARD","4G","504"
"2018","1","AVANTEL S.A.S","PREPAGO","DATA CARD","4G","270"
"2018","3","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","2G","1209"
"2018","3","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","3G","14434"
"2018","3","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","4G","5929"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2635"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","TEL�FONO M�VIL","2G","750228"
"2018","1","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","TEL�FONO M�VIL","2G","141995"
"2018","4","AVANTEL S.A.S","PREPAGO","DATA CARD","4G","182"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","POSPAGO","TEL�FONO M�VIL","4G","26238"
"2018","4","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","3G","69"
"2018","4","COLOMBIA MOVIL  S.A ESP","POSPAGO","DATA CARD","4G","156"
"2018","1","COMUNICACION CELULAR S A COMCEL S A","PREPAGO","DATA CARD","2G","2009"
"2018","4","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","3G","5597"
"2018","4","COLOMBIA MOVIL  S.A ESP","PREPAGO","DATA CARD","4G","833"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","2G","70234"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","3G","997"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","POSPAGO","DATA CARD","4G","2872"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","2G","2319"
"2018","4","COLOMBIA TELECOMUNICACIONES S.A. E.S.P.","PREPAGO","DATA CARD","3G","14157"
